;D##LENGTH##MILLIMETERS;P##LENGTH##MILLIMETERS;H##LENGTH##MILLIMETERS;d2##LENGTH##MILLIMETERS;s##LENGTH##MILLIMETERS;k##LENGTH##MILLIMETERS;a##LENGTH##MILLIMETERS;b2##LENGTH##MILLIMETERS;b3##LENGTH##MILLIMETERS;b4##LENGTH##MILLIMETERS;u1##LENGTH##MILLIMETERS;u2##LENGTH##MILLIMETERS;u##LENGTH##MILLIMETERS
M 3;3;0,5;0,433;2,675;5,5;2;1,5;12;;;3,2;7;0,5
M 4;4;0,7;0,6062;3,545;7;2,8;2,1;14;;;4,3;9;0,8
M 5;5;0,8;0,6928;4,48;8;3,5;2,4;16;22;;5,3;10;1
M 6;6;1;0,866;5,35;10;4;3;18;24;;6,4;12;1,6
M 8;8;1,25;1,0825;7,188;13;5,5;3,75;22;28;;8,4;16;1,6
M 10;10;1,5;1,299;9,026;17;6,4;4,5;26;32;45;10,5;20;2
M 12;12;1,75;1,5155;10,863;19;8;5,52;30;36;49;13;24;2,5
M 14;14;2;1,7321;12,701;22;9;6;34;40;53;15;28;2,5
M 16;16;2;1,7321;14,701;24;10;6;38;44;57;17;30;3
M 18;18;2,5;2,1651;16,376;27;11,5;7,5;42;48;61;19;34;3
M 20;20;2,5;2,1651;18,376;30;12,5;7,5;46;52;65;21;37;3
M 22;22;2,5;2,1651;20,376;32;14;7,5;50;56;69;23;39;3
M 24;24;3;2,5981;22,051;36;15;9;54;60;73;25;44;4
M 27;27;3;2,5981;25,051;41;17;9;60;66;79;28;50;4
M 30;30;3,5;3,0311;27,727;46;19;10,5;66;72;85;31;56;4
M 33;33;3,5;3,0311;30,727;50;21;10,5;72;78;91;34;60;5
M 36;36;4;3,4641;33,402;55;23;12;78;84;97;37;66;5
M 39;39;4;3,4641;36,402;60;25;12;84;90;103;40;72;6
M 42;42;4,5;3,8971;39,077;65;26;13,5;90;96;109;43;78;7
M 45;45;4,5;3,8971;42,077;70;28;13,5;96;102;115;46;85;7
M 48;48;5;4,3301;44,752;75;30;15;102;108;121;50;92;8
M 52;52;5;4,3301;48,752;80;33;15;;116;129;54;98;8
M 56;56;5,5;4,7631;52,428;85;35;16,6;;124;137;58;105;9
M 64;64;6;5,1962;60,103;95;40;18;;140;153;66;;9
